,date,date_end,site,site_name,variable,value,unit_name
1,01/07/2015,02/07/2015,abd,Aberdeen,v10,3.558333,ugm-3 (TEOM FDMS)
2,02/07/2015,03/07/2015,abd,Aberdeen,v10,2.722727,ugm-3 (TEOM FDMS)
3,03/07/2015,04/07/2015,abd,Aberdeen,v10,1.5125,ugm-3 (TEOM FDMS)
4,04/07/2015,05/07/2015,abd,Aberdeen,v10,2.433333,ugm-3 (TEOM FDMS)
5,05/07/2015,06/07/2015,abd,Aberdeen,v10,2.266667,ugm-3 (TEOM FDMS)
6,06/07/2015,07/07/2015,abd,Aberdeen,v10,2.075,ugm-3 (TEOM FDMS)
7,07/07/2015,08/07/2015,abd,Aberdeen,v10,2.395833,ugm-3 (TEOM FDMS)
8,08/07/2015,09/07/2015,abd,Aberdeen,v10,-0.183333,ugm-3 (TEOM FDMS)
9,09/07/2015,10/07/2015,abd,Aberdeen,v10,0.675,ugm-3 (TEOM FDMS)
10,10/07/2015,11/07/2015,abd,Aberdeen,v10,2.279167,ugm-3 (TEOM FDMS)
11,11/07/2015,12/07/2015,abd,Aberdeen,v10,1.941667,ugm-3 (TEOM FDMS)
12,12/07/2015,13/07/2015,abd,Aberdeen,v10,1.075,ugm-3 (TEOM FDMS)
13,13/07/2015,14/07/2015,abd,Aberdeen,v10,NA,ugm-3 (TEOM FDMS)
14,14/07/2015,15/07/2015,abd,Aberdeen,v10,NA,ugm-3 (TEOM FDMS)
15,15/07/2015,16/07/2015,abd,Aberdeen,v10,NA,ugm-3 (TEOM FDMS)
16,16/07/2015,17/07/2015,abd,Aberdeen,v10,NA,ugm-3 (TEOM FDMS)
17,17/07/2015,18/07/2015,abd,Aberdeen,v10,2.531818,ugm-3 (TEOM FDMS)
18,18/07/2015,19/07/2015,abd,Aberdeen,v10,0.541667,ugm-3 (TEOM FDMS)
19,19/07/2015,20/07/2015,abd,Aberdeen,v10,1.020833,ugm-3 (TEOM FDMS)
20,20/07/2015,21/07/2015,abd,Aberdeen,v10,2.3375,ugm-3 (TEOM FDMS)
21,21/07/2015,22/07/2015,abd,Aberdeen,v10,0.783333,ugm-3 (TEOM FDMS)
22,22/07/2015,23/07/2015,abd,Aberdeen,v10,1.066667,ugm-3 (TEOM FDMS)
23,23/07/2015,24/07/2015,abd,Aberdeen,v10,0.808696,ugm-3 (TEOM FDMS)
24,24/07/2015,25/07/2015,abd,Aberdeen,v10,1.295833,ugm-3 (TEOM FDMS)
25,25/07/2015,26/07/2015,abd,Aberdeen,v10,1.441667,ugm-3 (TEOM FDMS)
26,26/07/2015,27/07/2015,abd,Aberdeen,v10,2.4875,ugm-3 (TEOM FDMS)
27,27/07/2015,28/07/2015,abd,Aberdeen,v10,NA,ugm-3 (TEOM FDMS)
28,28/07/2015,29/07/2015,abd,Aberdeen,v10,1.079167,ugm-3 (TEOM FDMS)
29,29/07/2015,30/07/2015,abd,Aberdeen,v10,0.458333,ugm-3 (TEOM FDMS)
30,30/07/2015,31/07/2015,abd,Aberdeen,v10,0.841667,ugm-3 (TEOM FDMS)
31,31/07/2015,01/08/2015,abd,Aberdeen,v10,1.5125,ugm-3 (TEOM FDMS)
32,01/08/2015,02/08/2015,abd,Aberdeen,v10,1.270833,ugm-3 (TEOM FDMS)
33,02/08/2015,03/08/2015,abd,Aberdeen,v10,0.883333,ugm-3 (TEOM FDMS)
34,03/08/2015,04/08/2015,abd,Aberdeen,v10,3.079167,ugm-3 (TEOM FDMS)
35,04/08/2015,05/08/2015,abd,Aberdeen,v10,1.8625,ugm-3 (TEOM FDMS)
36,05/08/2015,06/08/2015,abd,Aberdeen,v10,1.695833,ugm-3 (TEOM FDMS)
37,06/08/2015,07/08/2015,abd,Aberdeen,v10,1.929167,ugm-3 (TEOM FDMS)
38,07/08/2015,08/08/2015,abd,Aberdeen,v10,1.375,ugm-3 (TEOM FDMS)
39,08/08/2015,09/08/2015,abd,Aberdeen,v10,2.0625,ugm-3 (TEOM FDMS)
40,09/08/2015,10/08/2015,abd,Aberdeen,v10,1.683333,ugm-3 (TEOM FDMS)
41,10/08/2015,11/08/2015,abd,Aberdeen,v10,1.991667,ugm-3 (TEOM FDMS)
42,11/08/2015,12/08/2015,abd,Aberdeen,v10,0.425,ugm-3 (TEOM FDMS)
43,12/08/2015,13/08/2015,abd,Aberdeen,v10,1.291667,ugm-3 (TEOM FDMS)
44,13/08/2015,14/08/2015,abd,Aberdeen,v10,2.05,ugm-3 (TEOM FDMS)
45,14/08/2015,15/08/2015,abd,Aberdeen,v10,2.391667,ugm-3 (TEOM FDMS)
46,15/08/2015,16/08/2015,abd,Aberdeen,v10,0.7375,ugm-3 (TEOM FDMS)
47,16/08/2015,17/08/2015,abd,Aberdeen,v10,1.058333,ugm-3 (TEOM FDMS)
48,17/08/2015,18/08/2015,abd,Aberdeen,v10,1.466667,ugm-3 (TEOM FDMS)
49,18/08/2015,19/08/2015,abd,Aberdeen,v10,1.458333,ugm-3 (TEOM FDMS)
50,19/08/2015,20/08/2015,abd,Aberdeen,v10,NA,ugm-3 (TEOM FDMS)
51,20/08/2015,21/08/2015,abd,Aberdeen,v10,NA,ugm-3 (TEOM FDMS)
52,21/08/2015,22/08/2015,abd,Aberdeen,v10,2.108333,ugm-3 (TEOM FDMS)
53,22/08/2015,23/08/2015,abd,Aberdeen,v10,1.9375,ugm-3 (TEOM FDMS)
54,23/08/2015,24/08/2015,abd,Aberdeen,v10,4.029167,ugm-3 (TEOM FDMS)
55,24/08/2015,25/08/2015,abd,Aberdeen,v10,3.642857,ugm-3 (TEOM FDMS)
56,25/08/2015,26/08/2015,abd,Aberdeen,v10,3.295833,ugm-3 (TEOM FDMS)
57,26/08/2015,27/08/2015,abd,Aberdeen,v10,2.7375,ugm-3 (TEOM FDMS)
58,27/08/2015,28/08/2015,abd,Aberdeen,v10,1.179167,ugm-3 (TEOM FDMS)
59,28/08/2015,29/08/2015,abd,Aberdeen,v10,0.8,ugm-3 (TEOM FDMS)
60,29/08/2015,30/08/2015,abd,Aberdeen,v10,1.158333,ugm-3 (TEOM FDMS)
61,30/08/2015,31/08/2015,abd,Aberdeen,v10,1.2875,ugm-3 (TEOM FDMS)
62,31/08/2015,01/09/2015,abd,Aberdeen,v10,1.231818,ugm-3 (TEOM FDMS)
63,01/09/2015,02/09/2015,abd,Aberdeen,v10,1.6875,ugm-3 (TEOM FDMS)
64,02/09/2015,03/09/2015,abd,Aberdeen,v10,1.704167,ugm-3 (TEOM FDMS)
65,03/09/2015,04/09/2015,abd,Aberdeen,v10,1.2375,ugm-3 (TEOM FDMS)
66,04/09/2015,05/09/2015,abd,Aberdeen,v10,1.645833,ugm-3 (TEOM FDMS)
67,05/09/2015,06/09/2015,abd,Aberdeen,v10,0.845833,ugm-3 (TEOM FDMS)
68,06/09/2015,07/09/2015,abd,Aberdeen,v10,0.983333,ugm-3 (TEOM FDMS)
69,07/09/2015,08/09/2015,abd,Aberdeen,v10,1.413043,ugm-3 (TEOM FDMS)
70,08/09/2015,09/09/2015,abd,Aberdeen,v10,3.204167,ugm-3 (TEOM FDMS)
71,09/09/2015,10/09/2015,abd,Aberdeen,v10,2.045833,ugm-3 (TEOM FDMS)
72,10/09/2015,11/09/2015,abd,Aberdeen,v10,1.9875,ugm-3 (TEOM FDMS)
73,11/09/2015,12/09/2015,abd,Aberdeen,v10,3.258333,ugm-3 (TEOM FDMS)
74,12/09/2015,13/09/2015,abd,Aberdeen,v10,4.954167,ugm-3 (TEOM FDMS)
75,13/09/2015,14/09/2015,abd,Aberdeen,v10,2.054167,ugm-3 (TEOM FDMS)
76,14/09/2015,15/09/2015,abd,Aberdeen,v10,3.329167,ugm-3 (TEOM FDMS)
77,15/09/2015,16/09/2015,abd,Aberdeen,v10,2.25,ugm-3 (TEOM FDMS)
78,16/09/2015,17/09/2015,abd,Aberdeen,v10,2.283333,ugm-3 (TEOM FDMS)
79,17/09/2015,18/09/2015,abd,Aberdeen,v10,1.52381,ugm-3 (TEOM FDMS)
80,18/09/2015,19/09/2015,abd,Aberdeen,v10,0.633333,ugm-3 (TEOM FDMS)
81,19/09/2015,20/09/2015,abd,Aberdeen,v10,1.429167,ugm-3 (TEOM FDMS)
82,20/09/2015,21/09/2015,abd,Aberdeen,v10,3.604167,ugm-3 (TEOM FDMS)
83,21/09/2015,22/09/2015,abd,Aberdeen,v10,2.836364,ugm-3 (TEOM FDMS)
84,22/09/2015,23/09/2015,abd,Aberdeen,v10,1.183333,ugm-3 (TEOM FDMS)
85,23/09/2015,24/09/2015,abd,Aberdeen,v10,1.8125,ugm-3 (TEOM FDMS)
86,24/09/2015,25/09/2015,abd,Aberdeen,v10,1.020833,ugm-3 (TEOM FDMS)
87,25/09/2015,26/09/2015,abd,Aberdeen,v10,-0.429167,ugm-3 (TEOM FDMS)
88,26/09/2015,27/09/2015,abd,Aberdeen,v10,0.854167,ugm-3 (TEOM FDMS)
89,27/09/2015,28/09/2015,abd,Aberdeen,v10,1.854167,ugm-3 (TEOM FDMS)
90,28/09/2015,29/09/2015,abd,Aberdeen,v10,3.554167,ugm-3 (TEOM FDMS)
91,29/09/2015,30/09/2015,abd,Aberdeen,v10,5.1,ugm-3 (TEOM FDMS)
92,30/09/2015,01/10/2015,abd,Aberdeen,v10,4.7375,ugm-3 (TEOM FDMS)
93,01/07/2015,02/07/2015,abd,Aberdeen,v25,7.116667,ugm-3 (TEOM FDMS)
94,02/07/2015,03/07/2015,abd,Aberdeen,v25,2.657895,ugm-3 (TEOM FDMS)
95,03/07/2015,04/07/2015,abd,Aberdeen,v25,1.008333,ugm-3 (TEOM FDMS)
96,04/07/2015,05/07/2015,abd,Aberdeen,v25,1.8125,ugm-3 (TEOM FDMS)
97,05/07/2015,06/07/2015,abd,Aberdeen,v25,2.666667,ugm-3 (TEOM FDMS)
98,06/07/2015,07/07/2015,abd,Aberdeen,v25,2.291667,ugm-3 (TEOM FDMS)
99,07/07/2015,08/07/2015,abd,Aberdeen,v25,2.845833,ugm-3 (TEOM FDMS)
100,08/07/2015,09/07/2015,abd,Aberdeen,v25,0.191667,ugm-3 (TEOM FDMS)
101,09/07/2015,10/07/2015,abd,Aberdeen,v25,0.708333,ugm-3 (TEOM FDMS)
102,10/07/2015,11/07/2015,abd,Aberdeen,v25,2.1375,ugm-3 (TEOM FDMS)
103,11/07/2015,12/07/2015,abd,Aberdeen,v25,2.008333,ugm-3 (TEOM FDMS)
104,12/07/2015,13/07/2015,abd,Aberdeen,v25,1.4,ugm-3 (TEOM FDMS)
105,13/07/2015,14/07/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
106,14/07/2015,15/07/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
107,15/07/2015,16/07/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
108,16/07/2015,17/07/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
109,17/07/2015,18/07/2015,abd,Aberdeen,v25,1.675,ugm-3 (TEOM FDMS)
110,18/07/2015,19/07/2015,abd,Aberdeen,v25,0.138095,ugm-3 (TEOM FDMS)
111,19/07/2015,20/07/2015,abd,Aberdeen,v25,1.129167,ugm-3 (TEOM FDMS)
112,20/07/2015,21/07/2015,abd,Aberdeen,v25,1.917391,ugm-3 (TEOM FDMS)
113,21/07/2015,22/07/2015,abd,Aberdeen,v25,0.76087,ugm-3 (TEOM FDMS)
114,22/07/2015,23/07/2015,abd,Aberdeen,v25,1.079167,ugm-3 (TEOM FDMS)
115,23/07/2015,24/07/2015,abd,Aberdeen,v25,1.478261,ugm-3 (TEOM FDMS)
116,24/07/2015,25/07/2015,abd,Aberdeen,v25,1.2375,ugm-3 (TEOM FDMS)
117,25/07/2015,26/07/2015,abd,Aberdeen,v25,1.008333,ugm-3 (TEOM FDMS)
118,26/07/2015,27/07/2015,abd,Aberdeen,v25,2.245833,ugm-3 (TEOM FDMS)
119,27/07/2015,28/07/2015,abd,Aberdeen,v25,2.426316,ugm-3 (TEOM FDMS)
120,28/07/2015,29/07/2015,abd,Aberdeen,v25,1.25,ugm-3 (TEOM FDMS)
121,29/07/2015,30/07/2015,abd,Aberdeen,v25,0.904167,ugm-3 (TEOM FDMS)
122,30/07/2015,31/07/2015,abd,Aberdeen,v25,1.145833,ugm-3 (TEOM FDMS)
123,31/07/2015,01/08/2015,abd,Aberdeen,v25,1.529167,ugm-3 (TEOM FDMS)
124,01/08/2015,02/08/2015,abd,Aberdeen,v25,1.229167,ugm-3 (TEOM FDMS)
125,02/08/2015,03/08/2015,abd,Aberdeen,v25,0.795833,ugm-3 (TEOM FDMS)
126,03/08/2015,04/08/2015,abd,Aberdeen,v25,2.0125,ugm-3 (TEOM FDMS)
127,04/08/2015,05/08/2015,abd,Aberdeen,v25,1.15,ugm-3 (TEOM FDMS)
128,05/08/2015,06/08/2015,abd,Aberdeen,v25,0.625,ugm-3 (TEOM FDMS)
129,06/08/2015,07/08/2015,abd,Aberdeen,v25,0.591667,ugm-3 (TEOM FDMS)
130,07/08/2015,08/08/2015,abd,Aberdeen,v25,0.9625,ugm-3 (TEOM FDMS)
131,08/08/2015,09/08/2015,abd,Aberdeen,v25,1.425,ugm-3 (TEOM FDMS)
132,09/08/2015,10/08/2015,abd,Aberdeen,v25,1.195833,ugm-3 (TEOM FDMS)
133,10/08/2015,11/08/2015,abd,Aberdeen,v25,1.379167,ugm-3 (TEOM FDMS)
134,11/08/2015,12/08/2015,abd,Aberdeen,v25,-0.195833,ugm-3 (TEOM FDMS)
135,12/08/2015,13/08/2015,abd,Aberdeen,v25,0.8,ugm-3 (TEOM FDMS)
136,13/08/2015,14/08/2015,abd,Aberdeen,v25,1.6375,ugm-3 (TEOM FDMS)
137,14/08/2015,15/08/2015,abd,Aberdeen,v25,1.458333,ugm-3 (TEOM FDMS)
138,15/08/2015,16/08/2015,abd,Aberdeen,v25,0.2875,ugm-3 (TEOM FDMS)
139,16/08/2015,17/08/2015,abd,Aberdeen,v25,0.766667,ugm-3 (TEOM FDMS)
140,17/08/2015,18/08/2015,abd,Aberdeen,v25,1.308333,ugm-3 (TEOM FDMS)
141,18/08/2015,19/08/2015,abd,Aberdeen,v25,1.166667,ugm-3 (TEOM FDMS)
142,19/08/2015,20/08/2015,abd,Aberdeen,v25,2.458333,ugm-3 (TEOM FDMS)
143,20/08/2015,21/08/2015,abd,Aberdeen,v25,1.591667,ugm-3 (TEOM FDMS)
144,21/08/2015,22/08/2015,abd,Aberdeen,v25,1.529167,ugm-3 (TEOM FDMS)
145,22/08/2015,23/08/2015,abd,Aberdeen,v25,0.929167,ugm-3 (TEOM FDMS)
146,23/08/2015,24/08/2015,abd,Aberdeen,v25,2.8125,ugm-3 (TEOM FDMS)
147,24/08/2015,25/08/2015,abd,Aberdeen,v25,1.354545,ugm-3 (TEOM FDMS)
148,25/08/2015,26/08/2015,abd,Aberdeen,v25,0.858333,ugm-3 (TEOM FDMS)
149,26/08/2015,27/08/2015,abd,Aberdeen,v25,1.508333,ugm-3 (TEOM FDMS)
150,27/08/2015,28/08/2015,abd,Aberdeen,v25,-0.154167,ugm-3 (TEOM FDMS)
151,28/08/2015,29/08/2015,abd,Aberdeen,v25,-0.045833,ugm-3 (TEOM FDMS)
152,29/08/2015,30/08/2015,abd,Aberdeen,v25,-0.279167,ugm-3 (TEOM FDMS)
153,30/08/2015,31/08/2015,abd,Aberdeen,v25,-0.1625,ugm-3 (TEOM FDMS)
154,31/08/2015,01/09/2015,abd,Aberdeen,v25,1.065217,ugm-3 (TEOM FDMS)
155,01/09/2015,02/09/2015,abd,Aberdeen,v25,0.254167,ugm-3 (TEOM FDMS)
156,02/09/2015,03/09/2015,abd,Aberdeen,v25,0.6125,ugm-3 (TEOM FDMS)
157,03/09/2015,04/09/2015,abd,Aberdeen,v25,-0.283333,ugm-3 (TEOM FDMS)
158,04/09/2015,05/09/2015,abd,Aberdeen,v25,-0.05,ugm-3 (TEOM FDMS)
159,05/09/2015,06/09/2015,abd,Aberdeen,v25,0.041667,ugm-3 (TEOM FDMS)
160,06/09/2015,07/09/2015,abd,Aberdeen,v25,-0.013043,ugm-3 (TEOM FDMS)
161,07/09/2015,08/09/2015,abd,Aberdeen,v25,-0.086957,ugm-3 (TEOM FDMS)
162,08/09/2015,09/09/2015,abd,Aberdeen,v25,1.7875,ugm-3 (TEOM FDMS)
163,09/09/2015,10/09/2015,abd,Aberdeen,v25,2.113043,ugm-3 (TEOM FDMS)
164,10/09/2015,11/09/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
165,11/09/2015,12/09/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
166,12/09/2015,13/09/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
167,13/09/2015,14/09/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
168,14/09/2015,15/09/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
169,15/09/2015,16/09/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
170,16/09/2015,17/09/2015,abd,Aberdeen,v25,1.345833,ugm-3 (TEOM FDMS)
171,17/09/2015,18/09/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
172,18/09/2015,19/09/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
173,19/09/2015,20/09/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
174,20/09/2015,21/09/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
175,21/09/2015,22/09/2015,abd,Aberdeen,v25,NA,ugm-3 (TEOM FDMS)
176,22/09/2015,23/09/2015,abd,Aberdeen,v25,0.4,ugm-3 (TEOM FDMS)
177,23/09/2015,24/09/2015,abd,Aberdeen,v25,0.458333,ugm-3 (TEOM FDMS)
178,24/09/2015,25/09/2015,abd,Aberdeen,v25,0.5,ugm-3 (TEOM FDMS)
179,25/09/2015,26/09/2015,abd,Aberdeen,v25,-1.220833,ugm-3 (TEOM FDMS)
180,26/09/2015,27/09/2015,abd,Aberdeen,v25,0.125,ugm-3 (TEOM FDMS)
181,27/09/2015,28/09/2015,abd,Aberdeen,v25,0.854167,ugm-3 (TEOM FDMS)
182,28/09/2015,29/09/2015,abd,Aberdeen,v25,2.33913,ugm-3 (TEOM FDMS)
183,29/09/2015,30/09/2015,abd,Aberdeen,v25,3.295833,ugm-3 (TEOM FDMS)
184,30/09/2015,01/10/2015,abd,Aberdeen,v25,3.429167,ugm-3 (TEOM FDMS)
185,01/07/2015,02/07/2015,acth,Auchencorth Moss,v25,0.878261,ugm-3 (TEOM FDMS)
186,02/07/2015,03/07/2015,acth,Auchencorth Moss,v25,0.169565,ugm-3 (TEOM FDMS)
187,03/07/2015,04/07/2015,acth,Auchencorth Moss,v25,0.2375,ugm-3 (TEOM FDMS)
188,04/07/2015,05/07/2015,acth,Auchencorth Moss,v25,0.652632,ugm-3 (TEOM FDMS)
189,05/07/2015,06/07/2015,acth,Auchencorth Moss,v25,0.258333,ugm-3 (TEOM FDMS)
190,06/07/2015,07/07/2015,acth,Auchencorth Moss,v25,0.059091,ugm-3 (TEOM FDMS)
191,07/07/2015,08/07/2015,acth,Auchencorth Moss,v25,0.125,ugm-3 (TEOM FDMS)
192,08/07/2015,09/07/2015,acth,Auchencorth Moss,v25,-0.419048,ugm-3 (TEOM FDMS)
193,09/07/2015,10/07/2015,acth,Auchencorth Moss,v25,0.170833,ugm-3 (TEOM FDMS)
194,10/07/2015,11/07/2015,acth,Auchencorth Moss,v25,1.033333,ugm-3 (TEOM FDMS)
195,11/07/2015,12/07/2015,acth,Auchencorth Moss,v25,0.970833,ugm-3 (TEOM FDMS)
196,12/07/2015,13/07/2015,acth,Auchencorth Moss,v25,-0.391667,ugm-3 (TEOM FDMS)
197,13/07/2015,14/07/2015,acth,Auchencorth Moss,v25,-0.234783,ugm-3 (TEOM FDMS)
198,14/07/2015,15/07/2015,acth,Auchencorth Moss,v25,-0.395833,ugm-3 (TEOM FDMS)
199,15/07/2015,16/07/2015,acth,Auchencorth Moss,v25,-0.25,ugm-3 (TEOM FDMS)
200,16/07/2015,17/07/2015,acth,Auchencorth Moss,v25,0.616667,ugm-3 (TEOM FDMS)
201,17/07/2015,18/07/2015,acth,Auchencorth Moss,v25,0.641667,ugm-3 (TEOM FDMS)
202,18/07/2015,19/07/2015,acth,Auchencorth Moss,v25,-0.404348,ugm-3 (TEOM FDMS)
203,19/07/2015,20/07/2015,acth,Auchencorth Moss,v25,0.05,ugm-3 (TEOM FDMS)
204,20/07/2015,21/07/2015,acth,Auchencorth Moss,v25,0.854167,ugm-3 (TEOM FDMS)
205,21/07/2015,22/07/2015,acth,Auchencorth Moss,v25,-0.691667,ugm-3 (TEOM FDMS)
206,22/07/2015,23/07/2015,acth,Auchencorth Moss,v25,-0.383333,ugm-3 (TEOM FDMS)
207,23/07/2015,24/07/2015,acth,Auchencorth Moss,v25,-0.191667,ugm-3 (TEOM FDMS)
208,24/07/2015,25/07/2015,acth,Auchencorth Moss,v25,-0.126087,ugm-3 (TEOM FDMS)
209,25/07/2015,26/07/2015,acth,Auchencorth Moss,v25,0.179167,ugm-3 (TEOM FDMS)
210,26/07/2015,27/07/2015,acth,Auchencorth Moss,v25,1.2375,ugm-3 (TEOM FDMS)
211,27/07/2015,28/07/2015,acth,Auchencorth Moss,v25,-0.170833,ugm-3 (TEOM FDMS)
212,28/07/2015,29/07/2015,acth,Auchencorth Moss,v25,-0.552174,ugm-3 (TEOM FDMS)
213,29/07/2015,30/07/2015,acth,Auchencorth Moss,v25,NA,ugm-3 (TEOM FDMS)
214,30/07/2015,31/07/2015,acth,Auchencorth Moss,v25,NA,ugm-3 (TEOM FDMS)
215,31/07/2015,01/08/2015,acth,Auchencorth Moss,v25,NA,ugm-3 (TEOM FDMS)
216,01/08/2015,02/08/2015,acth,Auchencorth Moss,v25,NA,ugm-3 (TEOM FDMS)
217,02/08/2015,03/08/2015,acth,Auchencorth Moss,v25,NA,ugm-3 (TEOM FDMS)
218,03/08/2015,04/08/2015,acth,Auchencorth Moss,v25,NA,ugm-3 (TEOM FDMS)
219,04/08/2015,05/08/2015,acth,Auchencorth Moss,v25,-0.633333,ugm-3 (TEOM FDMS)
220,05/08/2015,06/08/2015,acth,Auchencorth Moss,v25,0.25,ugm-3 (TEOM FDMS)
221,06/08/2015,07/08/2015,acth,Auchencorth Moss,v25,-0.329167,ugm-3 (TEOM FDMS)
222,07/08/2015,08/08/2015,acth,Auchencorth Moss,v25,-0.141667,ugm-3 (TEOM FDMS)
223,08/08/2015,09/08/2015,acth,Auchencorth Moss,v25,0.370833,ugm-3 (TEOM FDMS)
224,09/08/2015,10/08/2015,acth,Auchencorth Moss,v25,0.6125,ugm-3 (TEOM FDMS)
225,10/08/2015,11/08/2015,acth,Auchencorth Moss,v25,-0.016667,ugm-3 (TEOM FDMS)
226,11/08/2015,12/08/2015,acth,Auchencorth Moss,v25,-1.154167,ugm-3 (TEOM FDMS)
227,12/08/2015,13/08/2015,acth,Auchencorth Moss,v25,NA,ugm-3 (TEOM FDMS)
228,13/08/2015,14/08/2015,acth,Auchencorth Moss,v25,NA,ugm-3 (TEOM FDMS)
229,14/08/2015,15/08/2015,acth,Auchencorth Moss,v25,1.129167,ugm-3 (TEOM FDMS)
230,15/08/2015,16/08/2015,acth,Auchencorth Moss,v25,-0.441667,ugm-3 (TEOM FDMS)
231,16/08/2015,17/08/2015,acth,Auchencorth Moss,v25,-0.325,ugm-3 (TEOM FDMS)
232,17/08/2015,18/08/2015,acth,Auchencorth Moss,v25,0.7125,ugm-3 (TEOM FDMS)
