"","site Name"
"1","Aberdeen"
"2","Aberdeen Union Street Roadside"
"3","Aberdeen Wellington Road"
"4","Armagh Roadside"
"5","Aston Hill"
"6","Auchencorth Moss"
"7","Auchencorth Moss"
"8","Ballymena Ballykeel"
"9","Banchory"
"10","Barnsley 12"
"11","Barnsley Gawber"
"12","Barnstaple A39"
"13","Bath Roadside"
"14","Beacon Hill"
"15","Belfast Centre"
"16","Belfast Centre"
"17","Belfast Stockman's Lane"
"18","Billingham"
"19","Birmingham Acocks Green"
"20","Birmingham Tyburn"
"21","Birmingham Tyburn Roadside"
"22","Blackburn Accrington Road"
"23","Blackburn Darwen Roadside"
"24","Blackpool Marton"
"25","Bottesford"
"26","Bournemouth"
"27","Brighton Preston Park"
"28","Brighton Roadside"
"29","Bristol Avonmouth"
"30","Bristol Hallen"
"31","Bristol Old Market"
"32","Bristol St Paul's"
"33","Brookside 2"
"34","Bury Roadside"
"35","Bury Whitefield Roadside"
"36","Bush Estate"
"37","Cambridge Roadside"
"38","Camden Kerbside"
"39","Cannock Watling Street"
"40","Canterbury"
"41","Cardiff Centre"
"42","Cardiff Llandaff"
"43","Cardiff Rumney"
"44","Carlisle Roadside"
"45","Chadwell St Mary"
"46","Charlton Mackrell"
"47","Chatham Roadside"
"48","Chepstow A48"
"49","Chesterfield"
"50","Chesterfield Roadside"
"51","Chilbolton Observatory"
"52","Chilbolton Observatory"
"53","Cockley Beck"
"54","Coventry Allesley"
"55","Coventry Memorial Park"
"56","Cwmbran"
"57","Cwmystwyth"
"58","Dartford Bean"
"59","Derry"
"60","Detling"
"61","Dumbarton Roadside"
"62","Dumfries"
"63","Ealing Horn Lane"
"64","Eastbourne"
"65","Edinburgh St Leonards"
"66","Elswick 6"
"67","Eskdalemuir"
"68","Eskdalemuir"
"69","Exeter Roadside"
"70","Fort William"
"71","Glasgow"
"72","Glasgow Centre"
"73","Glasgow City Chambers"
"74","Glasgow Great Western Road"
"75","Glasgow High Street"
"76","Glasgow Kerbside"
"77","Glasgow Townhead"
"78","Glazebury"
"79","Grangemouth"
"80","Grangemouth Moray"
"81","Great Dun Fell"
"82","Hafod-yr-ynys Roadside"
"83","Haringey Roadside"
"84","Harwell"
"85","Harwell"
"86","Harwell"
"87","Heigham Holmes"
"88","High Muffles"
"89","Honiton"
"90","Horley"
"91","Hull Freetown"
"92","Hull Holderness Road"
"93","IMI Refiners Walsall"
"94","Inverness"
"95","Ladybower"
"96","Leamington Spa"
"97","Leamington Spa Rugby Road"
"98","Leeds Centre"
"99","Leeds Headingley Kerbside"
"100","Leeds Vicar Lane"
"101","Leicester Centre"
"102","Leicester University"
"103","Leominster"
"104","Lerwick"
"105","Lincoln Canwick Rd."
"106","Liverpool Queen's Drive Roadside"
"107","Liverpool Speke"
"108","London Bexley"
"109","London Bloomsbury"
"110","London Brent"
"111","London Cromwell Road 2"
"112","London Cromwell Road 2"
"113","London Eltham"
"114","London Haringey"
"115","London Haringey Priory Park South"
"116","London Harlington"
"117","London Harrow Stanmore"
"118","London Hillingdon"
"119","London Marylebone Road"
"120","London N. Kensington"
"121","London Teddington"
"122","London Teddington Bushy Park"
"123","London Westminster"
"124","London Westminster"
"125","Lough Navar"
"126","Lullington Heath"
"127","Mace Head"
"128","Manchester Piccadilly"
"129","Manchester South"
"130","Manchester Wythenshawe"
"131","Market Harborough"
"132","Middlesbrough"
"133","Mold"
"134","Monkswood"
"135","Motherwell Centre"
"136","Motherwell South"
"137","Narberth"
"138","Newcastle Centre"
"139","Newcastle Cradlewell Roadside"
"140","Newport"
"141","Northampton"
"142","Northampton Kingsthorpe"
"143","Norwich Lakenfields"
"144","Nottingham Centre"
"145","Oldbury Birmingham Road"
"146","Oxford Centre Roadside"
"147","Oxford St Ebbes"
"148","Peebles"
"149","Plymouth Centre"
"150","Pontardawe Brecon Road"
"151","Pontardawe Tawe Terrace"
"152","Port Talbot Margam"
"153","Port Talbot Margam"
"154","Portsmouth"
"155","Preston"
"156","Reading New Town"
"157","Redcar"
"158","Redcar Normanby"
"159","Rochester Stoke"
"160","Runcorn Weston Point"
"161","Salford Eccles"
"162","Saltash Callington Road"
"163","Saltash Roadside"
"164","Sandwell West Bromwich"
"165","Sandy Roadside"
"166","Scunthorpe Low Santon"
"167","Scunthorpe Town"
"168","Scunthorpe Town"
"169","Shaw Crompton Way"
"170","Sheffield Brinsworth"
"171","Sheffield Centre"
"172","Sheffield Centre"
"173","Sheffield Devonshire Green"
"174","Sheffield Devonshire Green"
"175","Sheffield Tinsley"
"176","Sibton"
"177","Southampton Centre"
"178","Southend-on-Sea"
"179","Southwark A2 Old Kent Road"
"180","St Osyth"
"181","Stanford-le-Hope Roadside"
"182","Stockton-on-Tees A1305 Roadside"
"183","Stockton-on-Tees Eaglescliffe"
"184","Stoke-on-Trent Centre"
"185","Storrington Roadside"
"186","Strathvaich"
"187","Sunderland Silksworth"
"188","Sunderland Wessington Way"
"189","Swansea"
"190","Swansea Coedgwilym"
"191","Swansea Morriston"
"192","Swansea Roadside"
"193","Thurrock"
"194","Tower Hamlets Roadside"
"195","Walsall Bilston Lane"
"196","Walsall Centre"
"197","Walsall Woodlands"
"198","Warrington"
"199","Weybourne"
"200","Wicken Fen"
"201","Widnes Milton Road"
"202","Wigan Centre"
"203","Wirral Tranmere"
"204","Wrexham"
"205","Wytham Wood"
"206","Yarner Wood"
"207","Yarner Wood"
"208","York Bootham"
"209","York Fishergate"
