"","Site name"
"1","Aberdeen Anderson Dr"
"2","Aberdeen Errol Place"
"3","Aberdeen King Street"
"4","Aberdeen Market Street 2"
"5","Aberdeen Union Street Roadside"
"6","Aberdeen Wellington Road"
"7","Alloa"
"8","Angus Forfar"
"9","Auchencorth Moss"
"10","Bush Estate"
"11","Dumfries"
"12","Dundee Broughty Ferry Road"
"13","Dundee Broughty Ferry Road"
"14","Dundee Lochee Road"
"15","Dundee Mains Loan"
"16","Dundee Mains Loan"
"17","Dundee Meadowside"
"18","Dundee Seagate"
"19","Dundee Union Street"
"20","Dundee Union Street"
"21","Dundee Whitehall Street"
"22","E Ayrshire Kilmarnock St Marnock St"
"23","East Ayrshire Kilmarnock"
"24","East Ayrshire Kilmarnock John Finnie St"
"25","East Ayrshire New Cumnock"
"26","East Dunbartonshire Bearsden"
"27","East Dunbartonshire Bishopbriggs"
"28","East Dunbartonshire Kirkintilloch"
"29","East Dunbartonshire Milngavie "
"30","East Lothian Musselburgh N High St"
"31","East Renfrewshire Sheddens"
"32","Edinburgh Glasgow Road"
"33","Edinburgh Glasgow Road"
"34","Edinburgh Gorgie Road"
"35","Edinburgh Haymarket"
"36","Edinburgh Queen Street"
"37","Edinburgh Queen Street"
"38","Edinburgh Queensferry Road"
"39","Edinburgh Roseburn"
"40","Edinburgh Salamander St"
"41","Edinburgh Salamander St"
"42","Edinburgh St John's Road"
"43","Edinburgh St Leonards"
"44","Eskdalemuir"
"45","Falkirk Grangemouth MC"
"46","Falkirk Haggs"
"47","Falkirk Hope St"
"48","Falkirk Hope St"
"49","Falkirk Park St"
"50","Falkirk Park St"
"51","Falkirk West Bridge Street"
"52","Falkirk West Bridge Street"
"53","Fife Cupar"
"54","Fife Cupar"
"55","Fife Dunfermline"
"56","Fife Kirkcaldy"
"57","Fife Rosyth"
"58","Fort William"
"59","Glasgow Abercromby Street"
"60","Glasgow Anderston"
"61","Glasgow Anderston"
"62","Glasgow Battlefield Road"
"63","Glasgow Broomhill"
"64","Glasgow Burgher St."
"65","Glasgow Byres Road"
"66","Glasgow Byres Road"
"67","Glasgow Centre"
"68","Glasgow Dumbarton Road"
"69","Glasgow Great Western Road"
"70","Glasgow High Street"
"71","Glasgow Kerbside"
"72","Glasgow Nithsdale Road"
"73","Glasgow Townhead"
"74","Glasgow Waulkmillglen Reservoir"
"75","Glasgow Waulkmillglen Reservoir"
"76","Grangemouth"
"77","Grangemouth Moray"
"78","Inverclyde Greenock Dunlop Street"
"79","Inverness"
"80","Lerwick"
"81","Lerwick Staney Hill"
"82","Midlothian Dalkeith"
"83","Midlothian Dalkeith"
"84","Midlothian Pathhead"
"85","Midlothian Pathhead"
"86","N Lanarkshire Chapelhall"
"87","N Lanarkshire Chapelhall"
"88","N Lanarkshire Coatbridge Whifflet"
"89","N Lanarkshire Croy"
"90","N Lanarkshire Croy"
"91","N Lanarkshire Harthill"
"92","N Lanarkshire Harthill West"
"93","N Lanarkshire Moodiesburn"
"94","N Lanarkshire Motherwell"
"95","N Lanarkshire Shawhead Coatbridge"
"96","North Ayrshire Irvine High St"
"97","North Lanarkshire Cumbernauld"
"98","Paisley Central Road"
"99","Paisley Glasgow Airport"
"100","Paisley Gordon Street"
"101","Paisley Gordon Street"
"102","Paisley St James St"
"103","Peebles"
"104","Perth Atholl Street"
"105","Perth Crieff"
"106","Perth High Street"
"107","Perth Muirton"
"108","South Ayrshire Ayr Harbour"
"109","South Ayrshire Ayr High St"
"110","South Ayrshire Maybole"
"111","South Lanarkshire East Kilbride"
"112","South Lanarkshire Glespin"
"113","South Lanarkshire Lanark"
"114","South Lanarkshire Raith Interchange"
"115","South Lanarkshire Rutherglen"
"116","Stirling Craig's Roundabout"
"117","Stirling Craig's Roundabout"
"118","Strath Vaich"
"119","West Dunbartonshire Clydebank"
"120","West Dunbartonshire Clydebank"
"121","West Dunbartonshire Glasgow Road"
"122","West Lothian Broxburn"
"123","West Lothian Linlithgow High Street"
"124","West Lothian Newton"
"125","West Lothian Whitburn"
