"","Site name"
"1","002 Temple Street, Llandrindod Wells"
"2","003 Temple Street, Llandrindod Wells"
"3","Anglesey Brynteg"
"4","Anglesey Llynfaes"
"5","Anglesey Penhesgyn"
"6","Anglesey Penhesgyn 2"
"7","Anglesey Wylfa"
"8","Aston Hill"
"9","Bridgend Ewenny Cross Roundabout"
"10","Caerphilly Blackwood High Street"
"11","Caerphilly Fochriw"
"12","Caerphilly White Street"
"13","Cardiff Briardene"
"14","Cardiff Centre"
"15","Chepstow A48"
"16","Cimla Road / Victoria Gardens"
"17","Cwmbran"
"18","Ffestiniog Railway"
"19","Hafod-yr-ynys Roadside"
"20","Marchlyn Mawr"
"21","Mold"
"22","Nantgarw Road"
"23","Narberth"
"24","Narberth"
"25","Newport M4 Junction 25"
"26","Newport Malpas Depot"
"27","Newport St Julians Comp School"
"28","Newport St Julians Comp School"
"29","Pembroke Power Station"
"30","Pontardawe Swansea Road"
"31","Port Talbot Docks"
"32","Port Talbot Dyffryn School"
"33","Port Talbot Little Warren"
"34","Port Talbot Margam"
"35","Port Talbot Prince Street"
"36","Port Talbot Talbot Road"
"37","Port Talbot Theodore Road"
"38","Port Talbot Twll-yn-y-Wal Park"
"39","Rhondda-Cynon-Taf Broadway"
"40","Rhondda-Cynon-Taf Nantgarw"
"41","Rhondda Pontypridd Gelliwastad Rd"
"42","Swansea Cwm Level Park"
"43","Swansea Hafod DOAS"
"44","Swansea Morfa Roadside"
"45","Swansea Morfa Roadside"
"46","Swansea Morriston Roadside"
"47","Swansea Morriston Roadside"
"48","Swansea Roadside"
"49","Swansea St Thomas DOAS"
"50","Twynyrodyn"
"51","Twynyrodyn"
"52","V Glamorgan Dinas Powys Roadside"
"53","V Glamorgan Fonmon"
"54","V Glamorgan Fonmon"
"55","V Glamorgan Penarth"
"56","V Glamorgan Windsor Road Penarth"
"57","Wrexham"
"58","Wrexham Isycoed"
"59","Wrexham Isycoed"
