Daily Mean data          supplied by UK-air on 2/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 All Data are GMT hour ending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status: V=verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberdeen,Auchencorth Moss,Armagh Roadside,Belfast Centre,Birmingham Tyburn,Birmingham Tyburn Roadside,Barnstaple A39,Bristol St Paul's,Bury Whitefield Roadside,Camden Kerbside,Cardiff Centre,Carlisle Roadside,Chatham Roadside,Chesterfield Loundsley Green,Chepstow A48,Chesterfield Roadside,Derry,Ealing Horn Lane,Eastbourne,Edinburgh St Leonards,Glasgow High Street,Glasgow Townhead,Grangemouth,Harwell,Hull Holderness Road,Leamington Spa,Leamington Spa Rugby Road,Leeds Headingley Kerbside,Leeds Centre,Leicester A594 Roadside,Liverpool Speke
Date,Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured),Volatile PM10 (Hourly measured)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2015,4,6,2,5,,2,5,3,3,1,2,4,3,4,1,3,3,4,,,4,,,7,,5,3,,,,3
02/07/2015,3,3,-1,4,,0,4,2,3,0,2,4,3,3,1,3,2,7,,,4,,,6,,3,2,,,,2
03/07/2015,2,3,-1,5,,1,4,3,3,1,3,3,4,2,2,3,,4,,,4,,,5,,4,3,,,,2
04/07/2015,2,4,0,3,,2,4,3,3,4,3,3,5,3,2,3,,7,,,3,,,6,,5,3,,,,3
05/07/2015,2,2,-1,4,,1,4,2,3,1,3,4,3,2,2,2,,5,,,2,,,4,,3,2,,,,2
06/07/2015,2,2,0,5,,1,5,2,3,1,3,3,3,2,,2,,4,,,4,,,3,,3,2,,,,2
07/07/2015,2,3,-1,4,,1,4,2,3,1,3,3,2,3,,3,1,6,,,3,,,4,,3,3,1,,,
08/07/2015,0,1,-2,4,,-1,4,1,1,0,1,,1,1,0,1,1,4,2,,2,,,3,-1,2,1,-1,,,
09/07/2015,1,1,-1,4,,0,4,2,2,1,2,,2,2,1,2,2,1,2,,3,,,3,0,2,2,0,,,
10/07/2015,2,2,0,6,,1,4,3,,1,4,,3,3,2,3,2,3,4,,3,,,4,1,3,3,1,,,
11/07/2015,2,2,0,6,,0,4,2,,1,2,,3,2,1,2,2,4,3,,4,,,3,1,3,2,0,,,
12/07/2015,1,1,-1,5,,1,5,2,,1,2,,3,2,1,2,1,5,3,,3,,,3,0,3,2,1,,,
13/07/2015,,1,-1,5,,0,4,2,,1,3,,3,2,2,2,2,5,4,,3,,,,0,3,2,2,,,
14/07/2015,,1,-1,5,,1,4,2,,1,2,,3,2,2,2,2,6,4,,,,,,2,3,2,1,,,0
15/07/2015,,1,-1,4,,1,4,3,,1,3,,3,2,2,2,2,7,4,,,,,,2,4,3,1,,,0
16/07/2015,,3,2,7,,1,5,3,,3,3,4,5,3,3,3,3,6,7,,,,,,1,4,3,3,,,2
17/07/2015,3,2,-1,6,,1,4,2,2,1,3,4,3,2,2,2,2,5,5,,,,,4,2,4,3,2,2,,1
18/07/2015,1,1,0,4,,0,5,2,1,1,3,3,2,2,2,2,2,4,3,,2,,,3,0,3,2,1,1,,0
19/07/2015,1,1,-1,5,,0,5,2,2,1,3,1,2,2,2,2,1,4,3,,2,,,3,0,3,2,1,0,,0
20/07/2015,2,2,0,5,,0,4,2,2,1,2,3,3,2,2,,2,5,4,,2,,,3,,3,2,2,2,,1
21/07/2015,1,0,-1,5,,0,4,2,2,0,2,,3,,1,,1,5,3,,1,,,,,3,2,1,1,,0
22/07/2015,1,1,-1,4,,0,4,1,2,0,,0,2,,2,,2,5,4,,2,,,,,3,2,1,0,,0
23/07/2015,1,1,-1,4,,0,4,2,2,1,,1,2,,2,,2,5,3,,1,,,,,3,2,1,1,,0
24/07/2015,1,1,-1,5,,1,4,3,3,,,1,4,2,,2,2,5,4,,2,,,3,,4,3,1,1,,1
25/07/2015,1,1,-1,5,,1,3,2,2,1,,1,2,2,,2,3,4,2,,2,,,2,,4,3,1,1,,0
26/07/2015,2,3,1,6,,1,4,3,3,2,,2,4,3,,3,3,7,4,,2,,,3,,4,3,3,3,,2
27/07/2015,,0,0,5,,0,3,1,2,0,,-1,2,1,,1,2,5,3,,1,,,1,,3,2,1,1,,0
