Daily Mean data          supplied by UK-air on 2/12/2015
 All Data are GMT hour ending
Status: V=verified N=Not Verified S=Suspect
,Aberdeen,,Auchencorth Moss,,Birmingham Acocks Green,,Belfast Centre,,Birmingham Tyburn,,Birmingham Tyburn Roadside,,Blackpool Marton,,Barnstaple A39,,Bristol St Paul's,,Camden Kerbside,,Cardiff Centre,,Carlisle Roadside,,Chatham Roadside,,Chesterfield Loundsley Green,,Chepstow A48,,Chesterfield Roadside,,Coventry Allesley,,Derry,,Eastbourne,,Edinburgh St Leonards,,Glasgow High Street,,Glasgow Townhead,,Grangemouth,,Harwell,,Haringey Roadside,,Hull Freetown,,Leamington Spa,,Leamington Spa Rugby Road,,Leicester University,,Leeds Headingley Kerbside,,Leeds Centre,,Liverpool Speke,,
Date,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit,"Volatile PM2.5 (Hourly measured)",status/unit

2015-07-01,7,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),6,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,5,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, ,3,N ugm-3 (TEOM FDMS)
2015-07-02,3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS)
2015-07-03,1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS)
2015-07-04,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS)
2015-07-05,3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS)
2015-07-06,2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, ,2,N ugm-3 (TEOM FDMS)
2015-07-07,3,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, 
2015-07-08,0,N ugm-3 (TEOM FDMS),-0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),-0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),-0,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),-0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),-0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),-0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, 
2015-07-09,1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, 
