"site","site_name","variable","date_started","date_ended","latitude","longitude","data_table","database_name"
"cam3","Cambridge Gonville Place","pm25",2011-11-14,NA,52.199575,0.12774,"measurement","aqengland"
"cam4","Cambridge Newmarket Road","pm25",2008-03-04,NA,52.20843,0.141521,"measurement","aqengland"
"ga1","Gateshead A1 Dunston","pm25",2015-01-01,NA,54.951529,-1.649945,"measurement","aqengland"
"ga3","Gateshead Lychgate Court","pm25",2015-01-01,NA,54.962008,-1.597121,"measurement","aqengland"
"girt","Girton Road","pm25",2011-12-13,NA,52.225556,0.087222,"measurement","aqengland"
"t55","Heathrow Green Gates","pm25",2002-04-19,NA,51.481478,-0.486675,"measurement","aqengland"
"lhr2","Heathrow LHR2","pm25",2009-12-09,NA,51.479167,-0.440556,"measurement","aqengland"
"t54","Heathrow Oaks Road","pm25",2002-04-19,NA,51.459444,-0.479444,"measurement","aqengland"
"hil4","London Hillingdon Harmondsworth Os","pm25",2007-07-01,NA,51.487534,-0.479451,"measurement","aqengland"
"amvl","North Lincs Amvale","pm25",2010-06-01,NA,53.567778,-0.622222,"measurement","aqengland"
"sant","North Lincs Santon","pm25",2008-05-28,2010-03-10,53.595778,-0.597139,"measurement","aqengland"
"dawe","North Lincs Santon Dawes Lane","pm25",2008-11-17,NA,53.59516,-0.602465,"measurement","aqengland"
"sfer","North Lincs South Ferriby","pm25",2008-11-17,NA,53.676004,-0.517324,"measurement","aqengland"
"stat","North Lincs Station Road","pm25",2010-08-18,NA,53.587711,-0.641369,"measurement","aqengland"
"no11","Norwich Castle Meadow","pm25",2006-05-10,2011-04-26,52.629367,1.296703,"measurement","aqengland"
"bhil","S Cambs Bar Hill","pm25",2001-03-01,2011-06-30,52.254095,0.031971,"measurement","aqengland"
"sc11","Scunthorpe Leisure Centre","pm25",2010-11-26,2011-10-03,53.591206,-0.640338,"measurement","aqengland"
"slh6","Slough Colnbrook Osiris","pm25",2005-01-17,NA,51.480372,-0.508729,"measurement","aqengland"
"slh5","Slough Lakeside 1 Osiris","pm25",2005-02-22,NA,51.484326,-0.5085,"measurement","aqengland"
"slh9","Slough Lakeside 2 Osiris","pm25",2007-07-12,NA,51.487764,-0.502656,"measurement","aqengland"
"bard","Stanton under Bardon","pm25",2010-01-25,2011-08-11,52.695953,-1.342583,"measurement","aqengland"
"war","Warrington Selby St.","pm25",2008-11-27,2014-01-07,53.38933,-2.6154,"measurement","aqengland"
"yk7","York Gillygate","pm25",2015-01-01,NA,53.963805,-1.085679,"measurement","aqengland"
