Daily Mean data          supplied by UK-air on 2/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 All Data are GMT hour ending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status: V=verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,London Bloomsbury,,Salford Eccles,,Stanford-le-Hope Roadside,,London Harlington,,London N. Kensington,,Lough Navar,,Middlesbrough,,London Marylebone Road,,Newcastle Centre,,Norwich Lakenfields,,Nottingham Centre,,Newport,,Oxford St Ebbes,,Narberth,,Plymouth Centre,,Portsmouth,,Port Talbot Margam,,Reading New Town,,Rochester Stoke,,Saltash Callington Road,,Scunthorpe Town,,Sandy Roadside,,Sheffield Devonshire Green,,Southwark A2 Old Kent Road,,Southampton Centre,,Stoke-on-Trent A50 Roadside,,Storrington Roadside,,Thurrock,,Warrington,,York Bootham,,York Fishergate,
Date,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2015,, ,2,N ugm-3 (TEOM FDMS),7,N ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, ,, ,4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,6,N ugm-3 (TEOM FDMS),, ,, ,, 
02/07/2015,, ,2,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),, ,, ,, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,7,N ugm-3 (TEOM FDMS),, ,, ,, 
03/07/2015,, ,2,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,5,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,5,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,, 
04/07/2015,, ,2,N ugm-3 (TEOM FDMS),7,N ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),7,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,5,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),5,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,6,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, 
05/07/2015,, ,2,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,5,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, 
06/07/2015,, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),, ,, ,, ,4,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,, 
07/07/2015,, ,2,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),4,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,5,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,4,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),, ,, ,, ,4,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,3,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS)
08/07/2015,, ,0,N ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),3,N ugm-3 (TEOM FDMS),, ,1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),, ,2,N ugm-3 (TEOM FDMS),, ,, ,, ,2,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),1,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS),2,N ugm-3 (TEOM FDMS),, ,0,N ugm-3 (TEOM FDMS),0,N ugm-3 (TEOM FDMS)
